INFO - +---------------------+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
|          K          |           C           | PCA |             Kernel            | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
| 0.09999999999999999 |  0.09999999999999999  |  6  |         RBF(γ = 1.0)          |       0.922       |       0.405       | 0.663 |
| 0.09999999999999999 |          1.0          |  6  |         RBF(γ = 1.0)          |       0.312       |       0.247       |  0.28 |
| 0.09999999999999999 |          10.0         |  6  |         RBF(γ = 1.0)          |       0.312       |       0.245       | 0.279 |
| 0.09999999999999999 | 9.999999999999999e-05 |  7  |        RBF(γ = 0.001)         |       0.777       |       0.459       | 0.618 |
| 0.09999999999999999 |         0.001         |  7  |        RBF(γ = 0.001)         |       0.777       |       0.459       | 0.618 |
| 0.09999999999999999 |          0.01         |  7  |        RBF(γ = 0.001)         |       0.407       |       0.152       |  0.28 |
| 0.09999999999999999 |  0.09999999999999999  |  7  |        RBF(γ = 0.001)         |        0.32       |        0.11       | 0.215 |
| 0.09999999999999999 |          1.0          |  7  |        RBF(γ = 0.001)         |       0.261       |       0.093       | 0.177 |
| 0.09999999999999999 |          10.0         |  7  |        RBF(γ = 0.001)         |       0.245       |       0.081       | 0.163 |
| 0.09999999999999999 | 9.999999999999999e-05 |  7  |         RBF(γ = 0.01)         |       0.331       |       0.088       |  0.21 |
| 0.09999999999999999 |         0.001         |  7  |         RBF(γ = 0.01)         |       0.331       |       0.088       |  0.21 |
| 0.09999999999999999 |          0.01         |  7  |         RBF(γ = 0.01)         |       0.308       |       0.087       | 0.198 |
| 0.09999999999999999 |  0.09999999999999999  |  7  |         RBF(γ = 0.01)         |       0.259       |       0.078       | 0.169 |
| 0.09999999999999999 |          1.0          |  7  |         RBF(γ = 0.01)         |       0.229       |       0.072       |  0.15 |
| 0.09999999999999999 |          10.0         |  7  |         RBF(γ = 0.01)         |       0.199       |       0.061       |  0.13 |
| 0.09999999999999999 | 9.999999999999999e-05 |  7  | RBF(γ = 0.09999999999999999)  |       0.848       |       0.564       | 0.706 |
| 0.09999999999999999 |         0.001         |  7  | RBF(γ = 0.09999999999999999)  |       0.848       |       0.564       | 0.706 |
| 0.09999999999999999 |          0.01         |  7  | RBF(γ = 0.09999999999999999)  |       0.848       |       0.564       | 0.706 |
| 0.09999999999999999 |  0.09999999999999999  |  7  | RBF(γ = 0.09999999999999999)  |       0.825       |       0.407       | 0.616 |
| 0.09999999999999999 |          1.0          |  7  | RBF(γ = 0.09999999999999999)  |       0.206       |       0.081       | 0.143 |
| 0.09999999999999999 |          10.0         |  7  | RBF(γ = 0.09999999999999999)  |       0.199       |       0.071       | 0.135 |
| 0.09999999999999999 | 9.999999999999999e-05 |  7  |         RBF(γ = 1.0)          |       0.922       |       0.607       | 0.764 |
| 0.09999999999999999 |         0.001         |  7  |         RBF(γ = 1.0)          |       0.922       |       0.607       | 0.764 |
| 0.09999999999999999 |          0.01         |  7  |         RBF(γ = 1.0)          |       0.922       |       0.607       | 0.764 |
| 0.09999999999999999 |  0.09999999999999999  |  7  |         RBF(γ = 1.0)          |       0.922       |       0.405       | 0.663 |
| 0.09999999999999999 |          1.0          |  7  |         RBF(γ = 1.0)          |       0.314       |       0.281       | 0.297 |
| 0.09999999999999999 |          10.0         |  7  |         RBF(γ = 1.0)          |       0.314       |       0.281       | 0.297 |
| 0.09999999999999999 | 9.999999999999999e-05 |  0  |        RBF(γ = 0.001)         |       0.782       |       0.459       |  0.62 |
| 0.09999999999999999 |         0.001         |  0  |        RBF(γ = 0.001)         |       0.782       |       0.459       |  0.62 |
| 0.09999999999999999 |          0.01         |  0  |        RBF(γ = 0.001)         |       0.404       |       0.149       | 0.277 |
| 0.09999999999999999 |  0.09999999999999999  |  0  |        RBF(γ = 0.001)         |       0.321       |       0.111       | 0.216 |
| 0.09999999999999999 |          1.0          |  0  |        RBF(γ = 0.001)         |       0.261       |       0.088       | 0.174 |
| 0.09999999999999999 |          10.0         |  0  |        RBF(γ = 0.001)         |       0.243       |       0.071       | 0.157 |
| 0.09999999999999999 | 9.999999999999999e-05 |  0  |         RBF(γ = 0.01)         |       0.322       |       0.087       | 0.204 |
| 0.09999999999999999 |         0.001         |  0  |         RBF(γ = 0.01)         |       0.322       |       0.087       | 0.204 |
| 0.09999999999999999 |          0.01         |  0  |         RBF(γ = 0.01)         |       0.315       |       0.089       | 0.202 |
| 0.09999999999999999 |  0.09999999999999999  |  0  |         RBF(γ = 0.01)         |       0.281       |       0.073       | 0.177 |
| 0.09999999999999999 |          1.0          |  0  |         RBF(γ = 0.01)         |       0.199       |       0.056       | 0.127 |
| 0.09999999999999999 |          10.0         |  0  |         RBF(γ = 0.01)         |       0.132       |       0.044       | 0.088 |
| 0.09999999999999999 | 9.999999999999999e-05 |  0  | RBF(γ = 0.09999999999999999)  |       0.952       |       0.607       | 0.779 |
| 0.09999999999999999 |         0.001         |  0  | RBF(γ = 0.09999999999999999)  |       0.952       |       0.607       | 0.779 |
| 0.09999999999999999 |          0.01         |  0  | RBF(γ = 0.09999999999999999)  |       0.952       |       0.607       | 0.779 |
| 0.09999999999999999 |  0.09999999999999999  |  0  | RBF(γ = 0.09999999999999999)  |       0.952       |       0.405       | 0.678 |
| 0.09999999999999999 |          1.0          |  0  | RBF(γ = 0.09999999999999999)  |       0.322       |       0.222       | 0.272 |
| 0.09999999999999999 |          10.0         |  0  | RBF(γ = 0.09999999999999999)  |       0.309       |       0.207       | 0.258 |
| 0.09999999999999999 | 9.999999999999999e-05 |  0  |         RBF(γ = 1.0)          |        0.99       |       0.607       | 0.798 |
| 0.09999999999999999 |         0.001         |  0  |         RBF(γ = 1.0)          |       0.996       |       0.607       | 0.801 |
| 0.09999999999999999 |          0.01         |  0  |         RBF(γ = 1.0)          |        0.99       |       0.607       | 0.798 |
| 0.09999999999999999 |  0.09999999999999999  |  0  |         RBF(γ = 1.0)          |        0.99       |       0.405       | 0.697 |
| 0.09999999999999999 |          1.0          |  0  |         RBF(γ = 1.0)          |       0.382       |       0.375       | 0.379 |
| 0.09999999999999999 |          10.0         |  0  |         RBF(γ = 1.0)          |       0.378       |       0.373       | 0.376 |
|         1.0         | 9.999999999999999e-05 |  6  |        RBF(γ = 0.001)         |        0.94       |       0.786       | 0.863 |
|         1.0         |         0.001         |  6  |        RBF(γ = 0.001)         |        0.83       |       0.367       | 0.598 |
|         1.0         |          0.01         |  6  |        RBF(γ = 0.001)         |       0.391       |       0.131       | 0.261 |
|         1.0         |  0.09999999999999999  |  6  |        RBF(γ = 0.001)         |       0.302       |       0.105       | 0.203 |
|         1.0         |          1.0          |  6  |        RBF(γ = 0.001)         |       0.266       |       0.089       | 0.177 |
|         1.0         |          10.0         |  6  |        RBF(γ = 0.001)         |       0.258       |       0.084       | 0.171 |
|         1.0         | 9.999999999999999e-05 |  6  |         RBF(γ = 0.01)         |       0.811       |       0.669       |  0.74 |
|         1.0         |         0.001         |  6  |         RBF(γ = 0.01)         |       0.811       |       0.614       | 0.713 |
|         1.0         |          0.01         |  6  |         RBF(γ = 0.01)         |       0.359       |       0.092       | 0.225 |
|         1.0         |  0.09999999999999999  |  6  |         RBF(γ = 0.01)         |       0.266       |       0.079       | 0.172 |
|         1.0         |          1.0          |  6  |         RBF(γ = 0.01)         |       0.237       |       0.071       | 0.154 |
|         1.0         |          10.0         |  6  |         RBF(γ = 0.01)         |       0.187       |       0.064       | 0.126 |
|         1.0         | 9.999999999999999e-05 |  6  | RBF(γ = 0.09999999999999999)  |       0.901       |       0.804       | 0.852 |
|         1.0         |         0.001         |  6  | RBF(γ = 0.09999999999999999)  |       0.901       |       0.804       | 0.852 |
|         1.0         |          0.01         |  6  | RBF(γ = 0.09999999999999999)  |       0.212       |       0.053       | 0.133 |
|         1.0         |  0.09999999999999999  |  6  | RBF(γ = 0.09999999999999999)  |       0.212       |       0.053       | 0.133 |
|         1.0         |          1.0          |  6  | RBF(γ = 0.09999999999999999)  |       0.189       |       0.046       | 0.118 |
|         1.0         |          10.0         |  6  | RBF(γ = 0.09999999999999999)  |       0.174       |       0.045       |  0.11 |
|         1.0         | 9.999999999999999e-05 |  6  |         RBF(γ = 1.0)          |       0.922       |       0.801       | 0.862 |
|         1.0         |         0.001         |  6  |         RBF(γ = 1.0)          |       0.922       |       0.801       | 0.862 |
|         1.0         |          0.01         |  6  |         RBF(γ = 1.0)          |       0.312       |       0.252       | 0.282 |
|         1.0         |  0.09999999999999999  |  6  |         RBF(γ = 1.0)          |       0.312       |       0.251       | 0.282 |
|         1.0         |          1.0          |  6  |         RBF(γ = 1.0)          |       0.275       |       0.218       | 0.246 |
|         1.0         |          10.0         |  6  |         RBF(γ = 1.0)          |       0.312       |       0.252       | 0.282 |
|         1.0         | 9.999999999999999e-05 |  7  |        RBF(γ = 0.001)         |       0.939       |        0.79       | 0.864 |
|         1.0         |         0.001         |  7  |        RBF(γ = 0.001)         |       0.847       |       0.377       | 0.612 |
|         1.0         |          0.01         |  7  |        RBF(γ = 0.001)         |       0.389       |       0.135       | 0.262 |
|         1.0         |  0.09999999999999999  |  7  |        RBF(γ = 0.001)         |       0.302       |       0.106       | 0.204 |
|         1.0         |          1.0          |  7  |        RBF(γ = 0.001)         |        0.27       |       0.089       |  0.18 |
|         1.0         |          10.0         |  7  |        RBF(γ = 0.001)         |       0.251       |       0.084       | 0.167 |
|         1.0         | 9.999999999999999e-05 |  7  |         RBF(γ = 0.01)         |       0.859       |       0.737       | 0.798 |
|         1.0         |         0.001         |  7  |         RBF(γ = 0.01)         |       0.859       |       0.652       | 0.756 |
|         1.0         |          0.01         |  7  |         RBF(γ = 0.01)         |       0.395       |       0.093       | 0.244 |
|         1.0         |  0.09999999999999999  |  7  |         RBF(γ = 0.01)         |        0.29       |       0.078       | 0.184 |
|         1.0         |          1.0          |  7  |         RBF(γ = 0.01)         |       0.231       |        0.07       | 0.151 |
